season,gameweek,base_mae,odds_mae,base_top5_points,odds_top5_points
2024/25,2,2.2071003781543586,2.117479985478527,8.2,8.2
2024/25,3,1.9472243984427249,1.9256321294593086,9.8,9.4
2024/25,4,2.3012298376246,2.3592672929100225,5.4,5.4
2024/25,5,2.1120287489052267,2.05933431306858,5.4,8.2
2024/25,6,2.379957099874904,2.3136800461659957,8.0,8.4
2024/25,7,2.3764832343488957,2.297792910030334,5.6,7.0
2024/25,8,2.191659954544145,2.202991934768508,4.8,4.0
2024/25,9,1.9812907788625702,1.9766541685531986,7.4,10.0
2024/25,10,2.2583543231423624,2.1951554402844344,3.6,4.4
2024/25,11,2.2722101640972747,2.165687057399201,5.2,8.0
2024/25,12,2.4086421002664236,2.4886314094575925,6.4,6.4
2024/25,13,2.3374894264488413,2.24410868717186,11.2,11.2
2024/25,14,2.38565570689056,2.3052530452664497,7.0,7.2
2024/25,15,2.111320561455471,2.1359739055675195,7.6,7.4
2024/25,16,2.294649458932928,2.280349883968367,4.0,4.4
2024/25,17,2.6725747960878863,2.7140933079638505,8.8,8.8
2024/25,18,2.100628874818919,2.0908697561033054,3.2,4.2
2024/25,19,2.268843056753621,2.281163210382694,6.6,6.6
2024/25,20,2.2066387933833664,2.2296601176065627,8.8,9.0
2024/25,21,2.2530351041173082,2.2290996942863113,9.0,7.8
2024/25,22,2.4179354876568366,2.4022241929386907,6.4,6.4
2024/25,23,2.2083909904132355,2.250791404689407,8.4,9.0
2024/25,24,2.736227991361452,2.7147154214390143,9.0,9.0
2024/25,25,2.3301996520598633,2.258201187543637,6.4,7.0
2024/25,26,2.5454823963458164,2.6632939413076273,6.2,8.6
2024/25,27,2.293437339364055,2.12821223424211,3.8,7.0
2024/25,28,2.1157565222759023,2.107494845968133,5.2,4.0
2024/25,29,2.2788347211010156,2.2484701694576166,7.0,6.8
2024/25,30,2.1674891891814885,2.040919124441371,3.0,3.4
2024/25,31,2.0849207928215474,2.0477684344198113,1.4,1.4
2024/25,32,2.6345217116434867,2.5888221687295494,2.4,7.8
2024/25,33,2.6377203189962053,2.6232830272226946,2.8,2.8
2024/25,34,2.312817227634247,2.1607159746660902,5.0,5.4
2024/25,35,2.1797907007775565,2.1399629730543994,2.8,6.0
2024/25,36,2.5565470065241076,2.6003882898592967,3.6,3.2
2024/25,37,2.334143839243556,2.1420498428275785,2.2,3.6
2024/25,38,2.2020890435482294,2.1515791981246397,3.4,4.2
2025/26,2,2.444183408464214,2.3489660761313016,4.4,4.8
2025/26,3,2.3990184700920336,2.460141533480286,3.4,6.6
2025/26,4,2.3570594454075278,2.2864773522207584,6.6,7.4
2025/26,5,2.1640924740923366,2.155291382676805,6.2,5.6
2025/26,6,2.2362432891255737,2.2967949842772475,5.2,5.2
2025/26,7,2.1338560785013407,2.091020199538424,6.6,4.2
2025/26,8,2.305384737122265,2.2748606625135994,6.4,5.6
2025/26,9,2.2921570605839094,2.2836931018577102,3.4,3.4
2025/26,10,2.2533729614961486,2.147359357417233,8.0,8.4
2025/26,11,2.364037917506533,2.3072852610888526,5.0,4.4
2025/26,12,2.513528288177096,2.5786865518225652,2.0,2.0
2025/26,13,2.3335496870905175,2.31257930090387,3.8,7.0
2025/26,14,2.298715030227094,2.3013995720402907,5.2,5.4
2025/26,15,2.3044530504482923,2.2742879402791183,7.4,7.8
2025/26,16,2.5229050626230687,2.4606486920102775,10.0,10.0
2025/26,17,2.4667451649845002,2.420265489220878,4.6,6.6
2025/26,18,2.254449016217371,2.250422237237392,3.2,3.2
2025/26,19,2.405092171136029,2.466833754895336,3.2,3.0
2025/26,20,2.394270634014889,2.3339844362181776,3.0,3.0
2025/26,21,2.2013632040374485,2.1837042317554403,3.2,2.8
2025/26,22,2.3326609835991876,2.437737292260191,3.2,3.4
2025/26,23,2.40277670862359,2.4166173167975495,2.2,1.4
2025/26,24,2.2914445548766444,2.2289363069068266,5.4,5.4
2025/26,25,2.2690456052660988,2.199712478652574,9.0,6.0
2025/26,26,2.2995234507105513,2.2748725676682824,3.6,3.6
2025/26,27,2.2703626640979198,2.2703594233430797,3.6,3.6
2025/26,28,2.3159390646783335,2.3248147821150096,3.6,3.8
2025/26,29,2.4780294450690885,2.5015500625002356,7.2,7.2
2025/26,30,2.4145855083262213,2.369089478651451,3.6,3.6
2025/26,31,2.380907112126268,2.3680953460211316,3.8,5.4
2025/26,32,2.343917663705914,2.3463639650151182,2.4,4.8
2025/26,33,2.9696240356966475,2.985964237717045,4.6,11.4
2025/26,34,2.441500498793916,2.394042107063636,7.6,6.0
2025/26,35,2.3368949306383753,2.199957532013078,3.4,3.6
2025/26,36,2.3920990525567607,2.329544668916303,6.0,8.0
2025/26,37,2.370617987752976,2.4045828676151704,7.2,4.8
2025/26,38,2.4267782514617258,2.4069847501430113,5.6,3.2
