season,gameweek,ridge_xp_mae,structural_xp_mae,hybrid_xp_mae,ridge_xp_top5_points,structural_xp_top5_points,hybrid_xp_top5_points,ridge_xp_top5_3gw,structural_xp_top5_3gw,hybrid_xp_top5_3gw,ridge_xp_ndcg10,structural_xp_ndcg10,hybrid_xp_ndcg10,ridge_xp_captain_regret,structural_xp_captain_regret,hybrid_xp_captain_regret
2024/25,2,2.117479985478527,2.0190160298000133,2.0134378796982575,8.2,8.4,8.2,21.232,19.235999999999997,21.088,0.5583914911115769,0.5871485184143138,0.6098251734181571,7.0,0.0,7.0
2024/25,3,1.9256321294593086,1.6974612878756614,1.8263195690266407,9.4,11.6,9.4,18.634,20.906,18.633999999999997,0.6946716424145071,0.6688863320350661,0.6881764588333767,0.0,0.0,0.0
2024/25,4,2.3592672929100225,2.103320389783888,2.254270311968365,5.4,4.2,5.4,14.454000000000002,14.190000000000003,14.454000000000002,0.3707134166889457,0.31545792552637386,0.3692105066685377,2.0,2.0,2.0
2024/25,5,2.05933431306858,1.9459738676951923,1.9922773041839636,8.2,7.4,8.2,11.692,13.196000000000002,11.692,0.6122526597129652,0.6381765531942262,0.6691183648953817,7.0,10.0,7.0
2024/25,6,2.3136800461659957,2.1800571830269524,2.2473658695110257,8.4,3.6,4.6,16.032,10.35,12.592,0.43910753075399955,0.23861736035742015,0.3866346693584745,23.0,23.0,23.0
2024/25,7,2.297792910030334,2.2847507401177016,2.2764976016854996,7.0,7.0,7.0,16.234,16.234,16.234,0.4027631592838111,0.35339038982920024,0.4005428304124736,14.0,14.0,14.0
2024/25,8,2.202991934768508,1.98809818176067,2.1156693672002036,4.0,4.0,4.0,13.9,11.614,13.9,0.3535644779804732,0.3439457375764797,0.38230421995096653,12.0,12.0,12.0
2024/25,9,1.9766541685531986,1.7726381669635045,1.8943624800138612,10.0,8.4,8.8,17.272,12.972,16.594,0.6840825523298429,0.6616532907788701,0.6799604742618486,9.0,9.0,9.0
2024/25,10,2.1951554402844344,2.064011677947495,2.1312844977072687,4.4,4.8,4.4,11.618,13.89,12.158000000000001,0.33777705817281345,0.39712956589741366,0.37458239508772856,14.0,7.0,7.0
2024/25,11,2.165687057399201,2.0267679092040307,2.100135379926848,8.0,8.0,5.0,18.818,18.548000000000002,16.358,0.5231201786941517,0.5769601855577512,0.5312473264098447,3.0,3.0,3.0
2024/25,12,2.4886314094575925,2.3038380080301097,2.4115270029070546,6.4,3.8,6.4,22.168,15.806000000000001,22.168,0.42313859326839126,0.3921598118741032,0.4103229204744533,3.0,3.0,3.0
2024/25,13,2.24410868717186,2.0613439293129363,2.160710644277547,11.2,9.6,11.2,23.332,19.842000000000002,23.332000000000004,0.594019197943019,0.5471024142608665,0.5822829601145567,7.0,7.0,7.0
2024/25,14,2.3052530452664497,2.090701306300671,2.2204329929953706,7.2,8.4,6.6,14.202000000000002,13.89,12.756,0.4350222260256305,0.531804094942491,0.5283230316791707,13.0,0.0,0.0
2024/25,15,2.1359739055675195,1.9249004621126962,2.054383812753585,7.4,8.6,7.4,11.756,16.988,11.756,0.5006259177845123,0.556747436139316,0.5281944039427945,11.0,11.0,11.0
2024/25,16,2.280349883968367,2.107902047765181,2.2101790032980015,4.4,5.0,5.0,12.302000000000001,13.55,13.55,0.354459697484812,0.3547780177022347,0.34266404635680514,15.0,14.0,14.0
2024/25,17,2.7140933079638505,2.6083740633516617,2.6495267044601114,8.8,9.0,8.8,17.386000000000003,17.514,17.386000000000003,0.49933459158768856,0.5318863958865139,0.5088181946812194,0.0,0.0,0.0
