squad_slot,gameweek,human_points,model_points,weekly_delta,cumulative_human,cumulative_model,cumulative_delta,raw_cumulative_human,raw_cumulative_model,raw_cumulative_delta,comparison_eligible,free_transfers_before,transfers,hit_cost,predicted_lineup_points,predicted_3gw_gain_vs_hold,bank,captain,transfer_detail,human_chip
1,11,34.0,42.0,8.0,34.0,42.0,8.0,34.0,42.0,8.0,True,1,1,0,55.301,1.399,0.5,Haaland,Welbeck -> Mateta,
1,12,50.0,49.0,-1.0,84.0,91.0,7.0,84.0,91.0,7.0,True,1,1,0,54.712,0.483,0.5,Haaland,Grealish -> Szoboszlai,
1,13,65.0,47.0,-18.0,84.0,91.0,7.0,149.0,138.0,-11.0,False,1,1,0,54.16,1.287,1.0,Haaland,Semenyo -> Barnes,Free Hit
1,14,76.0,81.0,5.0,160.0,172.0,12.0,225.0,219.0,-6.0,True,1,1,0,55.433,0.514,0.0,Haaland,Caicedo -> Doku,
1,15,67.0,68.0,1.0,227.0,240.0,13.0,292.0,287.0,-5.0,True,1,1,0,54.987,1.247,0.0,Haaland,Mateta -> João Pedro,
1,16,89.0,62.0,-27.0,316.0,302.0,-14.0,381.0,349.0,-32.0,True,1,1,0,54.629,2.484,0.0,Haaland,Barnes -> Enzo,
1,17,73.0,71.0,-2.0,389.0,373.0,-16.0,454.0,420.0,-34.0,True,1,1,0,52.498,0.941,0.0,Haaland,Doku -> Amad,
1,18,57.0,53.0,-4.0,446.0,426.0,-20.0,511.0,473.0,-38.0,True,1,1,0,54.501,1.407,0.0,Haaland,Enzo -> Cherki,
1,19,44.0,43.0,-1.0,490.0,469.0,-21.0,555.0,516.0,-39.0,True,1,1,0,52.857,3.15,1.5,Haaland,B.Fernandes -> Gordon,
1,20,66.0,55.0,-11.0,556.0,524.0,-32.0,621.0,571.0,-50.0,True,1,1,0,51.772,4.573,0.5,Haaland,João Pedro -> Ekitiké,
1,21,68.0,52.0,-16.0,624.0,576.0,-48.0,689.0,623.0,-66.0,True,1,1,0,52.709,1.55,0.0,Haaland,Amad -> Rogers,
1,22,54.0,44.0,-10.0,678.0,620.0,-58.0,743.0,667.0,-76.0,True,1,1,0,50.664,1.202,0.0,Haaland,Szoboszlai -> Bruno G.,
1,23,38.0,32.0,-6.0,716.0,652.0,-64.0,781.0,699.0,-82.0,True,1,2,4,53.625,3.284,0.0,Haaland,Muñoz -> Dorgu; Gordon -> Wirtz,
1,24,64.0,61.0,-3.0,780.0,713.0,-67.0,845.0,760.0,-85.0,True,1,1,0,51.357,2.249,0.0,Wirtz,Cherki -> Enzo,
1,25,74.0,66.0,-8.0,854.0,779.0,-75.0,919.0,826.0,-93.0,True,1,1,0,51.747,0.218,0.5,Haaland,Bruno G. -> Yeremy,
1,26,78.0,49.0,-29.0,932.0,828.0,-104.0,997.0,875.0,-122.0,True,1,1,0,56.277,2.791,0.0,Haaland,Yeremy -> Szoboszlai,
1,27,54.0,36.0,-18.0,986.0,864.0,-122.0,1051.0,911.0,-140.0,True,1,0,0,56.576,0.0,0.0,Haaland,,
1,28,87.0,82.0,-5.0,1073.0,946.0,-127.0,1138.0,993.0,-145.0,True,2,2,0,55.346,2.267,0.0,Haaland,James -> O'Reilly; Wirtz -> B.Fernandes,
1,29,86.0,87.0,1.0,1159.0,1033.0,-126.0,1224.0,1080.0,-144.0,True,1,2,4,53.193,5.804,2.5,Palmer,Haaland -> João Pedro; Szoboszlai -> Palmer,
1,30,71.0,48.0,-23.0,1230.0,1081.0,-149.0,1295.0,1128.0,-167.0,True,1,1,0,57.539,4.539,1.5,B.Fernandes,O'Reilly -> Virgil,
1,31,64.0,48.0,-16.0,1294.0,1129.0,-165.0,1359.0,1176.0,-183.0,True,1,1,0,52.575,1.563,1.0,Palmer,J.Timber -> Gabriel,
1,32,75.0,64.0,-11.0,1294.0,1129.0,-165.0,1434.0,1240.0,-194.0,False,1,1,0,51.714,3.198,0.5,B.Fernandes,Dorgu -> N.Williams,Wild Card
1,33,98.0,49.0,-49.0,1294.0,1129.0,-165.0,1532.0,1289.0,-243.0,False,1,1,0,49.874,4.832,0.0,B.Fernandes,João Pedro -> Bowen,Bench Boost
