season,season_label,gameweek,eligible_players,mean_actual_points,mean_predicted_points,differentials,undervalued,overvalued
2023,2023/24,2,210,2.5714285714285716,2.8681500276213256,35,26,15
2023,2023/24,3,178,2.960674157303371,2.9340085589694618,37,42,16
2023,2023/24,4,187,2.679144385026738,2.8475961891568704,34,31,28
2023,2023/24,5,184,2.467391304347826,2.89992305269877,38,22,16
2023,2023/24,6,179,3.089385474860335,2.796601249071938,37,34,15
2023,2023/24,7,183,3.202185792349727,2.825650499399662,36,22,13
2023,2023/24,8,187,2.727272727272727,2.9542066001075695,37,34,15
2023,2023/24,9,188,2.7180851063829787,2.8248089564206746,34,31,16
2023,2023/24,10,190,2.721052631578947,2.8273708264358275,37,29,17
2023,2023/24,11,176,2.647727272727273,2.8532006715447467,37,26,12
2023,2023/24,12,185,2.735135135135135,2.8351993436741174,40,28,13
2023,2023/24,13,183,2.601092896174863,2.8590106546460885,38,30,10
2023,2023/24,14,188,2.8617021276595747,2.8279718823658286,39,34,16
2023,2023/24,15,189,3.1164021164021163,2.8123775142024283,38,31,18
2023,2023/24,16,187,2.962566844919786,2.8328470073262295,41,30,16
2023,2023/24,17,185,2.6,2.8458869051093845,39,28,17
2023,2023/24,18,174,2.3275862068965516,2.771254817886829,39,33,20
2023,2023/24,19,176,2.5681818181818183,2.71639395381025,39,43,26
2023,2023/24,20,172,2.8430232558139537,2.76997018970094,36,31,13
2023,2023/24,21,176,2.7386363636363638,2.8095302121282804,38,27,13
2023,2023/24,22,180,2.7444444444444445,2.7672064590077787,38,36,16
2023,2023/24,23,177,2.9096045197740112,2.788542110999581,35,27,11
2023,2023/24,24,188,3.0106382978723403,2.7712478887720007,42,36,18
2023,2023/24,25,189,3.1587301587301586,2.828860937704338,44,37,20
2023,2023/24,26,198,2.54040404040404,3.025786045004169,38,38,24
2023,2023/24,27,180,3.011111111111111,2.7127171423935064,39,52,27
2023,2023/24,28,178,2.9213483146067416,2.879534440576777,38,39,15
2023,2023/24,29,181,1.0994475138121547,2.9029482764336456,34,34,18
2023,2023/24,30,141,2.4893617021276597,2.3494901671591317,32,53,21
2023,2023/24,31,137,2.9854014598540144,2.74299196263506,31,17,6
2023,2023/24,32,131,2.6106870229007635,2.693332893318015,34,20,7
